"find_id","hit_id","assignment_id","worker_id","original","updated","time","pitch","heading","trial","gen","zoom","find_time","invalid_count","valid_count"
1,"3GONHBMNHUX6SYG4NJJA3QC1182MZY","3QAVNHZ3EM3O8SO41H7XA41J3QCALG","A3KI215LLUTWNR","Find a brown tarp.","asdasdasdasdasdasdasdasda","2017-12-02 17:02:31+00",-15.903489734169483,72.19624543069334,0,0,0.8896590283539542,8.51,0,6
16,"3X4Q1O9UBGLB8RVAH4BEXRS42YDO78","3KB8R4ZV1E6D5AFVW4FNM40I54EGBN","A27NBGO9FXJS8Q","Find the yellow sign.","It is a diamond shaped yellow color warning sign board. It is a deer crossing sign.","2017-12-02 17:19:14+00",-1.0231669992305115,64.16762339205334,2,0,2.7718791651925745,68.921,0,5
19,"3X4Q1O9UBGLB8RVAH4BEXRS42YDO78","3KB8R4ZV1E6D5AFVW4FNM40I54EGBN","A27NBGO9FXJS8Q","Find the yellow sign.","It is a diamond shaped yellow warning sign board. It indicates deer crossing area.","2017-12-02 17:21:05+00",-0.07508268642781957,64.24866243224675,2,0,2.7718791651925745,20.455,0,5
21,"3X4Q1O9UBGLB8RVAH4BEXRS42YDO78","3KB8R4ZV1E6D5AFVW4FNM40I54EGBN","A2DSQT79EPX7MY","Find the yellow sign.","Find the yellow sign with the animal on it. ","2017-12-02 17:23:42+00",-0.9060632351734199,63.96564410018483,2,0,2.5540990520987243,12.48,0,5
24,"334ZEL5JX5EXRPF2579PSIO0PCQSOZ","3DPNQGW4LLERNI5G5CWE2ZHN1YV646","ATTNJ2IHS8MH8","Find a brown tarp.","Really good to work with it.","2017-12-02 17:25:58+00",-11.430181838117463,73.46835020213959,0,0,0.03899413161586396,21.701,0,6
7,"334ZEL5JX5EXRPF2579PSIO0PCQSOZ","3R8YZBNQ9HHHGN6JMJ8JBGIOS1WQ76","A1A4HRF16UVP6I","Find a brown tarp.","Find a brown tarp next to a hot dog stand on the sidewalk. ","2017-12-02 17:14:54+00",-6.507201946818682,64.68888647756641,0,0,1.0000000000000002,15.226,0,6
20,"3X4Q1O9UBGLB8RVAH4BEXRS42YDO78","3KB8R4ZV1E6D5AFVW4FNM40I54EGBN","A2DSQT79EPX7MY","Find the yellow sign.","find the triangular yellow sign","2017-12-02 17:22:39+00",-1.1812438232804254,62.81131298541474,2,0,1,18.738,0,5
8,"334ZEL5JX5EXRPF2579PSIO0PCQSOZ","3R8YZBNQ9HHHGN6JMJ8JBGIOS1WQ76","A1A4HRF16UVP6I","Find a brown tarp.","Brown tarp next to a hot dog stand and on the sidewalk.","2017-12-02 17:15:30+00",-1.6346454150697056,66.45785173259816,0,0,1.0000000000000002,7.136,0,6
12,"334ZEL5JX5EXRPF2579PSIO0PCQSOZ","39LOEL67OS4T9050YDOTC8L8TTO838","AHEVIE2NY1W1Z","Find a brown tarp.","find a a brown tarp with rope around it","2017-12-02 17:16:55+00",-10.370402665314387,80.1076455727345,0,0,1,16.203,0,6
11,"3X4Q1O9UBGLB8RVAH4BEXRS42YDO78","31HQ4X3T3S9S8OAYIHYYPLFQ59MLSZ","A2VF6506WDNXKS","Find the yellow sign.","Find the yellow road sign to the left of the house.","2017-12-02 17:16:16+00",-1.2985328311584823,62.62878552202164,2,0,1,22.709,0,5
13,"3X4Q1O9UBGLB8RVAH4BEXRS42YDO78","3PM8NZGV8YFBV2CA4WCH5FVCUUBQX1","A1LDYRTFF28GR","Find the yellow sign.","At the side of the road","2017-12-02 17:17:51+00",-1.0575670153626504,64.14244706156288,2,0,2.2362329825345975,17.719,0,5
22,"3X4Q1O9UBGLB8RVAH4BEXRS42YDO78","3KB8R4ZV1E6D5AFVW4FNM40I54EGBN","A2DSQT79EPX7MY","Find the yellow sign.","yellow sign with animal on it ","2017-12-02 17:24:38+00",-0.9451495718727614,64.0645435199587,2,0,2.5540990520987243,20.692,0,5
35,"dummy_hitId","dummy_assignment_id","dummy_workerId","Find the yellow sign.","aSasASasASasASasASasAa","2017-12-02 18:34:28+00",0,261.7687044369867,2,0,0.9999999999999997,3.445,5,0
38,"dummy_hitId","dummy_assignment_id","dummy_workerId","Find the yellow sign.","at improves on the above description in the blue box above so that other people can find the object: ","2017-12-02 19:05:37+00",0,193,2,0,0.9999999999999997,4.213,5,0
10,"3ECKRY5B1PVKWFQD24QS4EPH0IRIZZ","3PM8NZGV8YFBV2CA4WCH5FVCUUBXQ8","A233KUL18RUW1N","Find the trash can right next to a tree.","Find a dark colored trash can beside the road and a tree.","2017-12-02 17:16:16+00",-3.5970180985947735,14.069433601928782,1,0,0.9999999999999997,31.588,3,2
36,"dummy_hitId","dummy_assignment_id","dummy_workerId","Find the trash can right next to a tree.","ption that improves on the above description in the blue box above so that other people can find the object:","2017-12-02 18:46:53+00",0,333,1,0,0.9999999999999997,1.934,2,3
2,"3SU800BH85RGREKM9PWTWO1OPATUQP","36V4Q8R5ZKZ01QD6QPA8UYFENQRMQD","A1F10YPBU56UVH","Find the yellow sign.","Find the yellow sign next to the road.","2017-12-02 17:11:13+00",-1.2830363742543938,62.54078356406128,2,0,1,51.725,0,5
6,"3X4Q1O9UBGLB8RVAH4BEXRS42YDO78","37TD41K0AH8Z5KGS545ZM2P3B08SCQ","A12X0FLEDDVFPI","Find the yellow sign.","yellow sign is nearest to the road side","2017-12-02 17:14:39+00",-1.1074826983123813,62.619920520731235,2,0,1,64.073,0,5
14,"3X4Q1O9UBGLB8RVAH4BEXRS42YDO78","31HQ4X3T3S9S8OAYIHYYPLFQ59MLSZ","A2VF6506WDNXKS","Find the yellow sign.","Find the yellow animal crossing road sign.","2017-12-02 17:19:05+00",-1.058845190315452,64.10334780154075,2,0,2.612915278936328,22.305,0,5
15,"3X4Q1O9UBGLB8RVAH4BEXRS42YDO78","3PM8NZGV8YFBV2CA4WCH5FVCUUBQX1","A1LDYRTFF28GR","Find the yellow sign.","At the side of the road.","2017-12-02 17:19:09+00",-1.1646328693310295,63.04204496931999,2,0,1,6.523,0,5
9,"334ZEL5JX5EXRPF2579PSIO0PCQSOZ","39ASUFLU6X6MYZM5V5HHBY6YBRNXEW","A33IL6RDW1G3A0","Find a brown tarp.","find a brown tarp in front of large M&M wearing a christmas hat","2017-12-02 17:15:57+00",-11.151913951705481,79.16113250790985,0,0,0.9999999999999997,16.227,0,6
17,"334ZEL5JX5EXRPF2579PSIO0PCQSOZ","3T3IWE1XG6M4EL3QZMBKGCA6HYNTQL","A1C8FN01981A69","Find a brown tarp.","There is a brown tarp on the sidewalk next to a food cart with a red and yellow umbrella. ","2017-12-02 17:19:28+00",-11.312575028107844,77.52976825382896,0,0,1,14.32,0,6
18,"334ZEL5JX5EXRPF2579PSIO0PCQSOZ","3T3IWE1XG6M4EL3QZMBKGCA6HYNTQL","A1C8FN01981A69","Find a brown tarp.","The brown tarap is on the sidewalk next to a food cart with a red and yellow umbrella. ","2017-12-02 17:20:41+00",-10.827854836189331,77.09377594515551,0,0,1,12.542,0,6
